long,lat,order,hole,piece,id,group,STATEFP10,PLACEFP10,PLACENS10,NAME10,PLACE,NAME,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,popAvg
-88.051265,41.927527,115,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.045548,41.926369,116,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.047619,41.928686,117,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.052091,41.928347,118,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.052172,41.931394,119,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.033667,41.922829,120,TRUE,2,1700243,1700243.2,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.0324,41.922829,121,TRUE,2,1700243,1700243.2,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.032328,41.925655,122,TRUE,2,1700243,1700243.2,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.023322,41.926328,123,TRUE,2,1700243,1700243.2,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.022988,41.929082,124,TRUE,2,1700243,1700243.2,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.031976,41.93044,125,TRUE,2,1700243,1700243.2,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.033667,41.922829,126,TRUE,2,1700243,1700243.2,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.033548,41.933863,127,TRUE,3,1700243,1700243.3,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.032905,41.931649,128,TRUE,3,1700243,1700243.3,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.025798,41.930109,129,TRUE,3,1700243,1700243.3,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.025783,41.932269,130,TRUE,3,1700243,1700243.3,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.022419,41.93314,131,TRUE,3,1700243,1700243.3,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.023283,41.934745,132,TRUE,3,1700243,1700243.3,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.032263,41.933731,133,TRUE,3,1700243,1700243.3,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-88.032222,41.936796,134,TRUE,3,1700243,1700243.3,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
