town,town2,year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,pop,cycle_rate,ped_rate,total_rate
Dixmoor,Dixmoor,2015,1,0,1,2,1,1,3,2,1,"3,626",0.28,0.55,0.83
Dolton,Dolton,2012,3,0,3,13,0,13,16,16,0,"23,230",0.13,0.56,0.69
Dolton,Dolton,2013,,,,11,0,10,11,10,0,"23,228",0,0.47,0.47
Dolton,Dolton,2014,1,0,1,10,0,10,11,11,0,"23,262",0.04,0.43,0.47
Dolton,Dolton,2015,3,0,3,8,0,8,11,11,0,"23,283",0.13,0.34,0.47
Downers Grove,Downers Grove,2012,11,0,11,9,0,9,20,20,0,"48,621",0.23,0.19,0.41
Downers Grove,Downers Grove,2013,5,0,5,11,1,10,16,15,1,"48,964",0.1,0.22,0.33
Downers Grove,Downers Grove,2014,13,0,13,10,0,10,23,23,0,"49,372",0.26,0.2,0.47
Downers Grove,Downers Grove,2015,8,0,8,11,0,11,19,19,0,"49,504",0.16,0.22,0.38
East Dundee,East Dundee,2012,3,0,3,,,,3,3,0,"2,886",1.04,0,1.04
East Dundee,East Dundee,2013,1,0,1,,,,1,1,0,"2,946",0.34,0,0.34
East Dundee,East Dundee,2014,1,0,1,,,,1,1,0,"3,003",0.33,0,0.33
East Dundee,East Dundee,2015,2,0,2,2,0,2,4,4,0,"3,074",0.65,0.65,1.3
Elburn,Elburn,2012,,,,1,0,1,1,1,0,"5,595",0,0.18,0.18
Elburn,Elburn,2013,1,0,1,2,1,1,3,2,1,"5,666",0.18,0.35,0.53
Elburn,Elburn,2014,1,0,1,,,,1,1,0,"5,733",0.17,0,0.17
Elgin,Elgin,2012,28,0,28,29,2,26,57,54,2,"109,513",0.26,0.26,0.52
Elgin,Elgin,2013,22,0,21,29,0,28,51,49,0,"109,825",0.2,0.26,0.46
Elgin,Elgin,2014,14,1,13,31,0,30,45,43,1,"110,906",0.13,0.28,0.41
Elgin,Elgin,2015,16,0,15,38,4,33,54,48,4,"112,105",0.14,0.34,0.48
Elk Grove Village,Elk Grove,2012,10,0,9,4,2,2,14,11,2,"33,166",0.3,0.12,0.42
